@T,table,,,,
Created,2018-11-09 16:31,,,,
Author,HortonMachine library,,,,
@H,timestamp,value_1,value_1,val_1,val_1
ID,,1,1,1,1
Type,Date,Double,Double,,
Format,yyyy-MM-dd HH:mm,LeafTemperature Sun,LeafTemperature Shadow,Air Temperature (°C),Air Temperature (K)
,2018-08-25 12:00,292.4575662547,290.6902207838,17.425,290.425
,2018-08-25 13:00,294.0099998217,290.8979601404,17.075,290.075
,2018-08-25 14:00,301.2298890178,292.5037154255,18.6416666667,291.6416666667
,2018-08-25 15:00,298.4970230478,292.7287007084,19.275,292.275
,2018-08-25 16:00,295.1919965652,291.5957789938,18.2,291.2
,2018-08-25 17:00,291.673379642,290.7986916993,17.7083333333,290.7083333333
,2018-08-25 18:00,290.2065937309,289.9517890701,17.125,290.125
,2018-08-25 19:00,289.3298231197,289.3583333333,16.3583333333,289.3583333333
,2018-08-25 20:00,288.5305572219,288.5416666667,15.5416666667,288.5416666667
,2018-08-25 21:00,287.969894502,287.9416666667,14.9416666667,287.9416666667
,2018-08-25 22:00,287.2205939312,287.2583333333,14.2583333333,287.2583333333
,2018-08-25 23:00,285.4607831678,285.6166666667,12.6166666667,285.6166666667
,2018-08-26 00:00,284.4769992482,284.7083333333,11.7083333333,284.7083333333
,2018-08-26 01:00,284.4359300081,284.75,11.75,284.75
,2018-08-26 02:00,284.887650415,285.325,12.325,285.325
,2018-08-26 03:00,285.7711059131,286.55,13.55,286.55
,2018-08-26 04:00,286.2079127868,287.1416666667,14.1416666667,287.1416666667
,2018-08-26 05:00,286.3799464405,287.4666666667,14.4666666667,287.4666666667
,2018-08-26 06:00,289.7037008321,286.8663603439,14.8083333333,287.8083333333
,2018-08-26 07:00,290.8291896708,287.3346408991,15.1666666667,288.1666666667
,2018-08-26 08:00,297.2095668393,289.3135868884,17.1666666667,290.1666666667
,2018-08-26 09:00,300.4440665455,290.7412806925,18.575,291.575
,2018-08-26 10:00,301.5766987416,292.0803957191,20.0833333333,293.0833333333
,2018-08-26 11:00,298.8201852895,291.5401233049,19.0416666667,292.0416666667
,2018-08-26 12:00,295.3363233943,290.9739940917,18.4083333333,291.4083333333
,2018-08-26 13:00,296.0609493271,290.679021494,18.025,291.025
,2018-08-26 14:00,298.1946661914,291.4004556148,18.925,291.925
,2018-08-26 15:00,296.6233665568,290.8430972414,18.375,291.375
,2018-08-26 16:00,293.4050012977,289.56443775,17.1416666667,290.1416666667
,2018-08-26 17:00,289.8391615819,288.0675249266,15.5833333333,288.5833333333
,2018-08-26 18:00,289.2623228427,287.2861468632,14.9083333333,287.9083333333
,2018-08-26 19:00,285.2335596362,285.5666666667,12.5666666667,285.5666666667
,2018-08-26 20:00,284.4581044805,284.7,11.7,284.7
,2018-08-26 21:00,283.6575220424,283.7916666667,10.7916666667,283.7916666667
,2018-08-26 22:00,283.2460474908,283.3416666667,10.3416666667,283.3416666667
,2018-08-26 23:00,282.7048954618,282.7583333333,9.7583333333,282.7583333333
,2018-08-27 00:00,282.3764395322,282.4,9.4,282.4
,2018-08-27 01:00,282.0554506118,282.0666666667,9.0666666667,282.0666666667
,2018-08-27 02:00,281.6037496618,281.6083333333,8.6083333333,281.6083333333
,2018-08-27 03:00,281.4166036159,281.4583333333,8.4583333333,281.4583333333
,2018-08-27 04:00,281.2582577891,281.3333333333,8.3333333333,281.3333333333
,2018-08-27 05:00,281.1634576165,281.2333333333,8.2333333333,281.2333333333
,2018-08-27 06:00,291.2328800822,282.1149817126,8.425,281.425
,2018-08-27 07:00,294.0624043167,284.3059230978,10.7416666667,283.7416666667
,2018-08-27 08:00,307.0370339864,289.032818113,15.85,288.85
,2018-08-27 09:00,301.0748603767,290.8669086575,18.375,291.375
