@T,table,,,
@H,timestamp,val_1,val_2,val_3
ID,  ,1,2,3
,2018-04-27 08:00,0.6536666667,0.6536666667,0.6536666667
,2018-04-27 09:00,0.6361666667,0.6361666667,0.6361666667
,2018-04-27 10:00,0.6103333333,0.6103333333,0.6103333333
,2018-04-27 11:00,0.5921666667,0.5921666667,0.5921666667
,2018-04-27 12:00,0.5853333333,0.5853333333,0.5853333333
,2018-04-27 13:00,0.6045,0.6045,0.6045
,2018-04-27 14:00,0.616,0.616,0.616
,2018-04-27 15:00,0.6386666667,0.6386666667,0.6386666667
,2018-04-27 16:00,0.6486666667,0.6486666667,0.6486666667
,2018-04-27 17:00,0.6418333333,0.6418333333,0.6418333333
,2018-04-27 18:00,0.6743333333,0.6743333333,0.6743333333
,2018-04-27 19:00,0.6951666667,0.6951666667,0.6951666667
,2018-04-27 20:00,0.6715,0.6715,0.6715
,2018-04-27 21:00,0.6581666667,0.6581666667,0.6581666667
,2018-04-27 22:00,0.6646666667,0.6646666667,0.6646666667
,2018-04-27 23:00,0.5998333333,0.5998333333,0.5998333333
,2018-04-28 00:00,0.5765,0.5765,0.5765
,2018-04-28 01:00,0.5901666667,0.5901666667,0.5901666667
,2018-04-28 02:00,0.5723333333,0.5723333333,0.5723333333
,2018-04-28 03:00,0.5345,0.5345,0.5345
,2018-04-28 04:00,0.4936666667,0.4936666667,0.4936666667
,2018-04-28 05:00,0.515,0.515,0.515
,2018-04-28 06:00,0.5275,0.5275,0.5275
,2018-04-28 07:00,0.5181666667,0.5181666667,0.5181666667
,2018-04-28 08:00,0.5006666667,0.5006666667,0.5006666667
,2018-04-28 09:00,0.5268333333,0.5268333333,0.5268333333
,2018-04-28 10:00,0.4501666667,0.4501666667,0.4501666667
,2018-04-28 11:00,0.4843333333,0.4843333333,0.4843333333
,2018-04-28 12:00,0.4465,0.4465,0.4465
,2018-04-28 13:00,0.4268333333,0.4268333333,0.4268333333
,2018-04-28 14:00,0.385,0.385,0.385
,2018-04-28 15:00,0.368,0.368,0.368
,2018-04-28 16:00,0.3755,0.3755,0.3755
,2018-04-28 17:00,0.3715,0.3715,0.3715
,2018-04-28 18:00,0.3976666667,0.3976666667,0.3976666667
,2018-04-28 19:00,0.4551666667,0.4551666667,0.4551666667
,2018-04-28 20:00,0.5525,0.5525,0.5525
,2018-04-28 21:00,0.7041666667,0.7041666667,0.7041666667
,2018-04-28 22:00,0.7451666667,0.7451666667,0.7451666667
,2018-04-28 23:00,0.7416666667,0.7416666667,0.7416666667
,2018-04-29 00:00,0.7026666667,0.7026666667,0.7026666667
,2018-04-29 01:00,0.6081666667,0.6081666667,0.6081666667
,2018-04-29 02:00,0.5585,0.5585,0.5585
,2018-04-29 03:00,0.535,0.535,0.535
,2018-04-29 04:00,0.5163333333,0.5163333333,0.5163333333
,2018-04-29 05:00,0.5136666667,0.5136666667,0.5136666667
,2018-04-29 06:00,0.5011666667,0.5011666667,0.5011666667
,2018-04-29 07:00,0.516,0.516,0.516
,2018-04-29 08:00,0.541,0.541,0.541
,2018-04-29 09:00,0.5278333333,0.5278333333,0.5278333333
,2018-04-29 10:00,0.5033333333,0.5033333333,0.5033333333
,2018-04-29 11:00,0.4371666667,0.4371666667,0.4371666667
,2018-04-29 12:00,0.4661666667,0.4661666667,0.4661666667
,2018-04-29 13:00,0.489,0.489,0.489
,2018-04-29 14:00,0.5271666667,0.5271666667,0.5271666667
,2018-04-29 15:00,0.5148333333,0.5148333333,0.5148333333
,2018-04-29 16:00,0.4438333333,0.4438333333,0.4438333333
,2018-04-29 17:00,0.456,0.456,0.456
,2018-04-29 18:00,0.4576666667,0.4576666667,0.4576666667
,2018-04-29 19:00,0.4686666667,0.4686666667,0.4686666667
,2018-04-29 20:00,0.4855,0.4855,0.4855
,2018-04-29 21:00,0.511,0.511,0.511
,2018-04-29 22:00,0.5325,0.5325,0.5325
,2018-04-29 23:00,0.6475,0.6475,0.6475
,2018-04-30 00:00,0.819,0.819,0.819
,2018-04-30 01:00,0.8453333333,0.8453333333,0.8453333333
,2018-04-30 02:00,0.8595,0.8595,0.8595
,2018-04-30 03:00,0.8941666667,0.8941666667,0.8941666667
,2018-04-30 04:00,0.9006666667,0.9006666667,0.9006666667
,2018-04-30 05:00,0.906,0.906,0.906
,2018-04-30 06:00,0.9075,0.9075,0.9075
,2018-04-30 07:00,0.9081666667,0.9081666667,0.9081666667
,2018-04-30 08:00,0.909,0.909,0.909
,2018-04-30 09:00,0.8576666667,0.8576666667,0.8576666667
,2018-04-30 10:00,0.7706666667,0.7706666667,0.7706666667
,2018-04-30 11:00,0.742,0.742,0.742
,2018-04-30 12:00,0.609,0.609,0.609
,2018-04-30 13:00,0.6441666667,0.6441666667,0.6441666667
,2018-04-30 14:00,0.6398333333,0.6398333333,0.6398333333
,2018-04-30 15:00,0.572,0.572,0.572
,2018-04-30 16:00,0.5033333333,0.5033333333,0.5033333333
,2018-04-30 17:00,0.484,0.484,0.484
,2018-04-30 18:00,0.5403333333,0.5403333333,0.5403333333
,2018-04-30 19:00,0.6051666667,0.6051666667,0.6051666667
,2018-04-30 20:00,0.6871666667,0.6871666667,0.6871666667
,2018-04-30 21:00,0.7455,0.7455,0.7455
,2018-04-30 22:00,0.7541666667,0.7541666667,0.7541666667
,2018-04-30 23:00,0.7106666667,0.7106666667,0.7106666667
,2018-05-01 00:00,0.7131666667,0.7131666667,0.7131666667
,2018-05-01 01:00,0.7281666667,0.7281666667,0.7281666667
,2018-05-01 02:00,0.7711666667,0.7711666667,0.7711666667
,2018-05-01 03:00,0.8268333333,0.8268333333,0.8268333333
,2018-05-01 04:00,0.8215,0.8215,0.8215
,2018-05-01 05:00,0.8195,0.8195,0.8195
,2018-05-01 06:00,0.8043333333,0.8043333333,0.8043333333
,2018-05-01 07:00,0.7775,0.7775,0.7775
,2018-05-01 08:00,0.7341666667,0.7341666667,0.7341666667
,2018-05-01 09:00,0.6895,0.6895,0.6895
,2018-05-01 10:00,0.643,0.643,0.643
,2018-05-01 11:00,0.645,0.645,0.645
,2018-05-01 12:00,0.6636666667,0.6636666667,0.6636666667
,2018-05-01 13:00,0.6983333333,0.6983333333,0.6983333333
,2018-05-01 14:00,0.6976666667,0.6976666667,0.6976666667
,2018-05-01 15:00,0.7135,0.7135,0.7135
,2018-05-01 16:00,0.7838333333,0.7838333333,0.7838333333
,2018-05-01 17:00,0.8525,0.8525,0.8525
,2018-05-01 18:00,0.8591666667,0.8591666667,0.8591666667
,2018-05-01 19:00,0.8693333333,0.8693333333,0.8693333333
,2018-05-01 20:00,0.8705,0.8705,0.8705
,2018-05-01 21:00,0.8768333333,0.8768333333,0.8768333333
,2018-05-01 22:00,0.8895,0.8895,0.8895
,2018-05-01 23:00,0.893,0.893,0.893
,2018-05-02 00:00,0.8921666667,0.8921666667,0.8921666667
,2018-05-02 01:00,0.8945,0.8945,0.8945
,2018-05-02 02:00,0.8971666667,0.8971666667,0.8971666667
,2018-05-02 03:00,0.8723333333,0.8723333333,0.8723333333
,2018-05-02 04:00,0.8585,0.8585,0.8585
,2018-05-02 05:00,0.8821666667,0.8821666667,0.8821666667
,2018-05-02 06:00,0.8961666667,0.8961666667,0.8961666667
